transaction_id,category,amount,currency,description
T001,food,120.50,INR,"Lunch at Subway"
T002,food,49.99,INR,"Groceries: fruits, milk, bread"
T003,shopping,999.00,INR,"Amazon purchase - electronics"
T004,travel,250.75,INR,"Cab ride to airport"
T005,entertainment,150,INR,"Movie night"
T006,bills,400.25,INR,"Electricity bill (Oct)"
T007,shopping,60.00,INR,"New T-shirt"
T008,food,80.00,INR,"Dinner at restaurant"
T009,subscriptions,299.00,INR,"Spotify + YouTube Premium"
T010,travel,300,INR,"Train ticket - Bhopal to Indore"
T011,health,1250.50,INR,"Doctor consultation + meds"
T012,education,5500,INR,"Online course - Rust programming"
T013,gaming,1500,INR,"Steam games bundle"
T014,shopping,2500,INR,"Clothes + accessories"
T015,bills,799.99,INR,"Broadband bill"
T016,food,45,INR,"Breakfast - Poha + Chai"
T017,gadgets,29999.99,INR,"New phone purchase"
T018,travel,4500,INR,"Flight ticket"
T019,entertainment,199,INR,"Netflix movie rental"
T020,shopping,350,INR,"Home decor items"
